0xdf0,Flag 1 - 8,Flag 9 - 16,Flag 17 - 24,Flag 25 - 32,Flag 33 - 40,Flag 41 - 48,Flag 49 - 56,Flag 57 - 63,Character Pointer,Face Pointer,Asset Pointer,Character Name Pointer,Character Description Pointer,Attack Stance Pointer,Defense Stance Pointer,Character ID,Support Route,Army ID,Replace this Character ID from GameData,Parent,Class 1,Class 2,Support ID,Level,Internal level,Enemy/Ally Flag,##UNKNOWN##,Base HP,Base Strength,Base Magic,Base Skill,Base Speed,Base Luck,Base Defense,Base Resistance,HP Growth,Strength Growth,Magic Growth,Skill Growth,Speed Growth,Luck Growth,Defense Growth,Resistance Growth,HP Modifier,Strength Modifier,Magic Modifer,Skill Modifier,Speed Modifier,Luck Modifier,Defense Modifier,Resistance Modifier,##UNKNOWN##,Sword/Katana Rank,Lance/Naginata Rank,Axe/Club Rank,Shuriken/Dagger Rank,Bow/Yumi Rank,Tome/Scroll Rank,Staff/Rod Rank,Stone Rank,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill Flags 1 - 8,Skill Flags 9 - 16,Personal Skill (Birthright),Personal Skill (Conquest),Personal Skill (Revelation),Day of birth,Month of birth,Reclass option 1,Reclass Option 2,Parent ID,Child ID,Support Index (parent - child and sibling support),Level Cap / 10,Amiibo,Combat Music Pointer,Enemy Voice Pointer,Amiibo weapon 1,Amiibo weapon 2,##UNKNOWN##
Xander,0x0,0x0,0x0,0x0,0xa,0x40,0x0,0x0,0x2675b,0x2b997,0x2b9a4,0x2b9b1,0x2b9bf,0xa5b0,0xacb8,0x2b,0x6,0x2,0x0,0x0,0x7,0x9,0xd,4,-1,1,0x0,19,15,3,11,8,16,16,5,45,50,5,40,35,60,40,15,0,2,-1,-1,-1,2,1,-2,0x0,96,21,0,0,0,0,0,0,0x33,0x2c,0x0,0x0,0x0,0xff,0x7f,0xc9,0xc9,0xc9,10,27,0x45,0x0,0x2a,0xffff,3292,0,0,0x0,0x0,0x0,0x0,0x0
Izana,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26768,0x2b9cf,0x2b9da,0x2b9e5,0x2b9f1,0xa5ec,0xace0,0x2c,0x3,0x2,0x0,0x0,0x33,0x35,0x3f,5,-1,1,0x1c,15,16,16,19,11,15,11,18,45,35,35,55,30,45,35,35,0,0,1,1,-2,0,0,1,0x0,0,0,0,0,0,96,51,0,0x24,0x14,0x11,0x0,0x0,0xff,0x7f,0xca,0xca,0xca,12,29,0x21,0x4f,0x2b,0xffff,3301,0,0,0x0,0x0,0x0,0x0,0x0
Fuga,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26773,0x2b9ff,0x2ba0a,0x2ba15,0x2ba21,0xa54c,0xad08,0x2d,0x4,0x2,0x0,0x0,0x23,0x21,0x40,10,-1,1,0x21,21,21,0,21,16,15,22,12,20,20,0,15,5,20,10,10,0,2,-1,1,0,-1,2,-2,0x0,96,51,51,0,0,0,0,0,0x39,0x27,0xb,0x0,0x0,0xff,0x7f,0xcb,0xcb,0xcb,1,8,0x27,0x35,0x2c,0xffff,3304,0,1,0x0,0x0,0x0,0x0,0x0
Yukimura,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x2677e,0x2ba2f,0x2ba3c,0x2ba49,0x2ba57,0xa54c,0xad30,0x2e,0x1,0x2,0x0,0x0,0x4d,0x4f,0x3e,10,-1,1,0x21,20,18,3,20,16,16,15,16,25,25,5,40,15,30,25,30,0,-1,0,3,-1,0,-1,0,0x0,0,0,0,96,96,0,0,0,0x63,0x6d,0x29,0x0,0x0,0xff,0x7f,0xcc,0xcc,0xcc,4,28,0x21,0x35,0x2d,0xffff,3307,0,0,0x0,0x0,0x0,0x0,0x0
Flora,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x2678b,0x2ba67,0x2ba74,0x2ba81,0x2ba8f,0xa560,0xad58,0x2f,0x6,0x2,0x0,0x0,0x5e,0x5c,0x45,5,-1,1,0x1c,11,14,11,16,7,7,9,19,35,40,20,45,30,35,30,30,0,1,-1,2,0,-1,1,-1,0x0,0,0,0,51,0,0,96,0,0x8,0x4a,0x64,0x0,0x0,0xff,0x7f,0xcd,0xcd,0xcd,2,19,0x56,0x18,0x2e,0xffff,3310,0,0,0x0,0x0,0x0,0x0,0x0
Mozu,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26798,0x2ba9f,0x2baaa,0x2bab5,0x2bac1,0xa5c4,0xad80,0x30,0x7,0x2,0x0,0x0,0x69,0x52,0x1f,1,-1,1,0x0,-1,1,0,1,2,0,0,1,30,40,5,50,55,45,35,30,0,0,0,1,1,1,0,-2,0x0,0,1,0,0,0,0,0,0,0x6c,0x0,0x0,0x0,0x0,0xff,0x7f,0xce,0xce,0xce,10,6,0x40,0x0,0x2f,0xffff,3313,0,0,0x0,0x0,0x0,0x0,0x0
Kana (M),0x0,0x0,0x80,0x0,0x0,0x40,0x0,0x0,0x267a3,0x2bacf,0x2badc,0x2bae9,0x2baf5,0xa538,0xa628,0x31,0x7,0x2,0x0,0x2,0x3,0x1,0x2e,10,-1,1,0xa,7,6,6,8,8,9,5,5,30,35,30,40,45,45,25,25,0,0,0,0,0,0,0,0,0x0,21,0,0,0,0,0,0,21,0x6a,0x1c,0x0,0x0,0x0,0xff,0x7f,0xcf,0xcf,0xcf,4,19,0x0,0x0,0x30,0x0,3373,0,0,0x0,0x0,0x0,0x0,0x0
Kana (F),0x1,0x0,0x80,0x0,0x0,0x40,0x0,0x0,0x267b0,0x2bb03,0x2bb10,0x2bae9,0x2baf5,0xa538,0xa628,0x32,0x7,0x2,0x0,0x1,0x4,0x2,0x39,10,-1,1,0xa,7,6,6,8,8,9,5,5,30,35,30,40,45,45,25,25,0,0,0,0,0,0,0,0,0x0,21,0,0,0,0,0,0,21,0x6a,0x1c,0x0,0x0,0x0,0xff,0x7f,0xcf,0xcf,0xcf,4,19,0x0,0x0,0x31,0x1,3373,0,0,0x0,0x0,0x0,0x0,0x0
Shigure,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x267bd,0x2bb1d,0x2bb28,0x2bb33,0x2bb3f,0xa538,0xa628,0x33,0x7,0x2,0x0,0x9,0x3b,0x39,0x2c,10,-1,1,0xa,9,6,1,7,7,5,8,7,35,45,5,45,35,25,35,25,0,0,0,0,0,0,0,0,0x0,0,21,0,0,0,0,0,0,0x3a,0x5d,0x0,0x0,0x0,0xff,0x7f,0xd1,0xd1,0xd1,6,6,0x0,0x0,0x32,0x2,3373,0,0,0x0,0x0,0x0,0x0,0x0
Dwyer,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x267c8,0x2bb4d,0x2bb5a,0x2bb67,0x2bb75,0xa538,0xa628,0x34,0x7,0x2,0x0,0x5,0x5b,0x5d,0x2d,10,-1,1,0xa,8,7,7,2,6,4,6,7,45,45,30,20,30,30,30,35,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,21,0,0x8,0x49,0x0,0x0,0x0,0xff,0x7f,0xd0,0xd0,0xd0,11,16,0x0,0x0,0x33,0x3,3379,0,0,0x0,0x0,0x0,0x0,0x0
Sophie,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x267d5,0x2bb85,0x2bb92,0x2bb9f,0x2bbad,0xa538,0xa628,0x35,0x7,0x2,0x0,0xc,0xa,0x8,0x37,10,-1,1,0xa,8,6,2,7,6,7,4,6,35,35,10,55,50,35,25,35,0,0,0,0,0,0,0,0,0x0,21,21,0,0,0,0,0,0,0x33,0x2c,0x0,0x0,0x0,0xff,0x7f,0xd2,0xd2,0xd2,7,21,0x0,0x0,0x34,0x4,3388,0,0,0x0,0x0,0x0,0x0,0x0
Midori,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x267e2,0x2bbbd,0x2bbca,0x2bbd7,0x2bbe5,0xa538,0xa628,0x36,0x7,0x2,0x0,0x7,0x50,0x52,0x38,10,-1,1,0xa,8,6,2,10,4,10,4,2,45,35,5,55,35,50,30,20,0,0,0,0,0,0,0,0,0x0,0,0,0,0,21,0,0,0,0x63,0x6d,0x0,0x0,0x0,0xff,0x7f,0xd3,0xd3,0xd3,5,17,0x0,0x0,0x35,0x5,3397,0,0,0x0,0x0,0x0,0x0,0x0
Shiro,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x267ef,0x2bbf5,0x2bc02,0x2bc0f,0x2bc1d,0xa538,0xa628,0x37,0x5,0x2,0x0,0x19,0x2d,0x2b,0x28,10,-1,1,0xa,8,7,0,5,3,6,8,5,50,50,0,40,35,35,45,30,0,0,0,0,0,0,0,0,0x0,0,21,0,0,0,0,0,0,0xe,0x2f,0x0,0x0,0x0,0xff,0x7f,0xd4,0xd4,0xd4,8,22,0x0,0x0,0x36,0x6,3406,0,0,0x0,0x0,0x0,0x0,0x0
Kiragi,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x267fc,0x2bc2d,0x2bc3a,0x2bc47,0x2bc55,0xa538,0xa628,0x38,0x5,0x2,0x0,0x15,0x3f,0x41,0x29,10,-1,1,0xa,7,6,0,5,6,8,4,1,45,40,0,45,50,45,40,15,0,0,0,0,0,0,0,0,0x0,0,0,0,0,21,0,0,0,0x4,0x31,0x0,0x0,0x0,0xff,0x7f,0xd5,0xd5,0xd5,7,4,0x0,0x0,0x37,0x7,3415,0,0,0x0,0x0,0x0,0x0,0x0
Asugi,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26809,0x2bc65,0x2bc70,0x2bc7b,0x2bc87,0xa538,0xa628,0x39,0x5,0x2,0x0,0xd,0x4b,0x49,0x2a,10,-1,1,0xa,6,7,4,7,6,9,4,9,40,50,50,55,45,50,30,20,0,0,0,0,0,0,0,0,0x0,0,0,0,21,0,0,0,0,0x70,0x65,0x0,0x0,0x0,0xff,0x7f,0xd6,0xd6,0xd6,1,1,0x0,0x0,0x38,0x8,3424,0,0,0x0,0x0,0x0,0x0,0x0
Selkie,0x1,0x0,0x0,0x1,0x0,0x40,0x0,0x0,0x26814,0x2bc95,0x2bc9e,0x2bca7,0x2bcb1,0xa538,0xa628,0x3a,0x5,0x2,0x0,0x18,0x64,0x66,0x33,10,-1,1,0xa,7,4,3,6,7,10,6,11,35,30,15,35,55,60,30,50,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,21,0x35,0x28,0x0,0x0,0x0,0xff,0x7f,0xd7,0xd7,0xd7,10,20,0x0,0x0,0x39,0x9,3433,0,0,0x0,0x0,0x0,0x0,0x0
Hisame,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x2681d,0x2bcbd,0x2bcc8,0x2bcd3,0x2bcdf,0xa538,0xa628,0x3b,0x5,0x2,0x0,0x14,0x21,0x1f,0x2b,10,-1,1,0xa,6,6,1,7,5,4,5,4,50,40,0,40,40,25,30,20,0,0,0,0,0,0,0,0,0x0,21,0,0,0,0,0,0,0,0x39,0x27,0x0,0x0,0x0,0xff,0x7f,0xd8,0xd8,0xd8,9,27,0x0,0x0,0x3a,0xa,3442,0,0,0x0,0x0,0x0,0x0,0x0
Mitama,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26828,0x2bced,0x2bcf8,0x2bd03,0x2bd0f,0xa538,0xa628,0x3c,0x5,0x2,0x0,0x10,0x36,0x38,0x34,10,-1,1,0xa,6,7,6,6,8,10,3,5,45,40,35,45,50,50,30,20,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,21,0,0x24,0x14,0x0,0x0,0x0,0xff,0x7f,0xd9,0xd9,0xd9,6,26,0x0,0x0,0x3b,0xb,3451,0,0,0x0,0x0,0x0,0x0,0x0
Caeldori,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26833,0x2bd1d,0x2bd28,0x2bd33,0x2bd3f,0xa538,0xa628,0x3d,0x5,0x2,0x0,0xb,0x3c,0x3a,0x35,10,-1,1,0xa,8,8,3,5,6,9,5,6,55,35,15,40,40,45,35,20,0,0,0,0,0,0,0,0,0x0,0,21,0,0,0,0,0,0,0x3a,0x5d,0x0,0x0,0x0,0xff,0x7f,0xda,0xda,0xda,7,6,0x0,0x0,0x3c,0xc,3460,0,0,0x0,0x0,0x0,0x0,0x0
Rhajat,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x2683e,0x2bd4d,0x2bd58,0x2bd63,0x2bd6f,0xa538,0xa628,0x3e,0x5,0x2,0x0,0x12,0x32,0x34,0x36,10,-1,1,0xa,8,10,10,0,7,6,5,12,40,60,60,10,50,30,25,35,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,21,0,0,0x3,0x6b,0x0,0x0,0x0,0xff,0x7f,0xdb,0xdb,0xdb,4,1,0x0,0x0,0x3d,0xd,3469,0,0,0x0,0x0,0x0,0x0,0x0
Siegbert,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26849,0x2bd7d,0x2bd8e,0x2bd9f,0x2bdb1,0xa538,0xa628,0x3f,0x6,0x2,0x0,0x2b,0x9,0x7,0x2f,10,-1,1,0xa,7,5,2,7,6,7,6,3,40,45,5,45,45,45,35,20,0,0,0,0,0,0,0,0,0x0,21,21,0,0,0,0,0,0,0x33,0x2c,0x0,0x0,0x0,0xff,0x7f,0xdc,0xdc,0xdc,5,28,0x0,0x0,0x3e,0xe,3478,0,0,0x0,0x0,0x0,0x0,0x0
Forrest,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x2685a,0x2bdc5,0x2bdd2,0x2bddf,0x2bded,0xa538,0xa628,0x40,0x6,0x2,0x0,0x29,0x5b,0x59,0x30,10,-1,1,0xa,8,9,9,1,4,5,6,13,55,65,65,20,35,25,25,55,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,21,0,0x8,0x49,0x0,0x0,0x0,0xff,0x7f,0xde,0xde,0xde,3,13,0x0,0x0,0x3f,0xf,3487,0,0,0x0,0x0,0x0,0x0,0x0
Ignatius,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26867,0x2bdfd,0x2be0a,0x2be17,0x2be25,0xa538,0xa628,0x41,0x6,0x2,0x0,0x27,0xd,0xf,0x31,10,-1,1,0xa,8,7,0,6,4,7,6,7,40,50,0,40,30,55,45,35,0,0,0,0,0,0,0,0,0x0,0,21,0,0,0,0,0,0,0x7,0x34,0x0,0x0,0x0,0xff,0x7f,0xdd,0xdd,0xdd,8,16,0x0,0x0,0x40,0x10,3496,0,0,0x0,0x0,0x0,0x0,0x0
Velouria,0x1,0x0,0x0,0x1,0x0,0x40,0x0,0x0,0x26874,0x2be35,0x2be40,0x2be4b,0x2be57,0xa538,0xa628,0x42,0x6,0x2,0x0,0x2a,0x60,0x62,0x3a,10,-1,1,0xa,7,6,0,6,6,11,9,8,50,50,0,40,40,35,45,30,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,21,0x36,0x28,0x0,0x0,0x0,0xff,0x7f,0xdf,0xdf,0xdf,10,11,0x0,0x0,0x41,0x11,3505,0,0,0x0,0x0,0x0,0x0,0x0
Percy,0x0,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x2687f,0x2be65,0x2be70,0x2be7b,0x2be87,0xa538,0xa628,0x43,0x6,0x2,0x0,0x1d,0x45,0x43,0x32,10,-1,1,0xa,6,4,0,6,6,15,8,4,30,30,5,45,40,75,55,15,0,0,0,0,0,0,0,0,0x0,0,0,21,0,0,0,0,0,0x2,0x2e,0x0,0x0,0x0,0xff,0x7f,0xe0,0xe0,0xe0,9,5,0x0,0x0,0x42,0x12,3514,0,0,0x0,0x0,0x0,0x0,0x0
Ophelia,0x1,0x0,0x0,0x0,0x0,0x40,0x1,0x0,0x2688a,0x2be95,0x2bea4,0x2beb3,0x2bec3,0xa538,0xa628,0x44,0x6,0x2,0x0,0x1f,0x56,0x54,0x3b,10,-1,1,0xa,7,6,6,6,7,12,2,5,45,45,45,40,45,65,20,30,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,21,0,0,0x59,0x4c,0x0,0x0,0x0,0xff,0x7f,0xe1,0xe1,0xe1,9,15,0x0,0x0,0x43,0x13,3523,0,0,0x0,0x0,0x0,0x0,0x0
Soleil,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x26899,0x2bed5,0x2bee2,0x2beef,0x2befd,0xa538,0xa628,0x45,0x6,0x2,0x0,0x25,0x18,0x16,0x3c,10,-1,1,0xa,6,7,1,3,6,7,5,6,25,60,0,35,35,45,35,40,0,0,0,0,0,0,0,0,0x0,21,0,0,0,0,0,0,0,0x5b,0x32,0x0,0x0,0x0,0xff,0x7f,0xe2,0xe2,0xe2,8,31,0x0,0x0,0x44,0x14,3532,0,0,0x0,0x0,0x0,0x0,0x0
Nina,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x268a6,0x2bf0d,0x2bf1c,0x2bf2b,0x2bf3b,0xa538,0xa628,0x46,0x6,0x2,0x0,0x20,0x1c,0x1e,0x3d,10,-1,1,0xa,5,8,5,5,5,11,3,10,30,45,30,35,40,50,25,45,0,0,0,0,0,0,0,0,0x0,0,0,0,0,21,0,0,0,0x70,0x9,0x0,0x0,0x0,0xff,0x7f,0xe3,0xe3,0xe3,1,31,0x0,0x0,0x45,0x15,3541,0,0,0x0,0x0,0x0,0x0,0x0
Anna,0x1,0x0,0x0,0x0,0x0,0x40,0x0,0x0,0x268b5,0x2bf4d,0x2bf58,0x2bf63,0x2bf6f,0xa574,0xada8,0x47,0x7,0x2,0x0,0x0,0x1c,0x1e,0x46,10,-1,1,0x0,7,10,10,6,6,14,4,11,35,30,55,30,40,70,20,45,0,-1,1,0,-1,2,-2,2,0x0,0,0,0,0,51,0,0,0,0x70,0x9,0x0,0x0,0x0,0xff,0x7f,0xe4,0xe4,0xe4,6,10,0x5c,0x50,0x46,0xffff,3550,0,0,0x0,0x0,0x0,0x0,0x0
Daniela,0x1,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x268c0,0x2bf7d,0x2bf8a,0x2bf97,0x2bfa5,0xa538,0xa628,0x48,0x0,0x0,0x0,0x0,0x5a,0x5c,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,10,55,30,45,25,15,35,0,0,1,1,0,-1,-1,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Haitaka,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x268d2,0x2bfb5,0x2bfc2,0x2bfcf,0x2bfdd,0xa538,0xa628,0x49,0x0,0x0,0x0,0x0,0x2d,0x2b,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,40,50,5,45,45,15,35,30,0,1,0,2,2,-2,-2,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Kumagera,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x268e4,0x2bfed,0x2bffa,0x2c007,0x2c015,0xa538,0xa628,0x4a,0x0,0x0,0x0,0x0,0x25,0x27,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,65,55,10,45,20,15,45,10,0,1,0,1,0,-1,1,-1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Lloyd,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x268f6,0x2c025,0x2c034,0x2c043,0x2c053,0xa538,0xa628,0x4b,0x0,0x0,0x0,0x0,0x11,0x13,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,85,60,5,35,30,35,15,10,0,2,-1,2,-3,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Llewelyn,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x2690a,0x2c065,0x2c072,0x2c07f,0x2c08d,0xa538,0xa628,0x4c,0x0,0x0,0x0,0x0,0x11,0x13,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,85,45,5,25,45,35,25,5,0,1,-1,-3,2,0,3,-2,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Nichol,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x2691c,0x2c09d,0x2c0a8,0x2c0b3,0x2c0bf,0xa538,0xa628,0x4d,0x0,0x0,0x0,0x0,0x47,0x45,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,45,20,45,45,15,35,20,0,1,-1,1,0,-1,1,-1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Candace,0x1,0x0,0x0,0x0,0x0,0x0,0x10,0x20,0x2692c,0x2c0cd,0x2c0da,0x2c0e7,0x2c0f5,0xa538,0xa628,0x4e,0x0,0x0,0x0,0x0,0x1e,0x1c,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,45,20,20,20,25,55,35,35,0,0,1,-2,-2,2,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,2,0x0,0x0,0x0,0x0,0x0
Tarba,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x2693e,0x2c105,0x2c110,0x2c11b,0x2c127,0xa538,0xa628,0x4f,0x0,0x0,0x0,0x0,0x11,0x13,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,55,45,5,45,45,35,25,10,0,1,-1,1,1,-1,0,-1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Funke,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x2694e,0x2c135,0x2c142,0x2c14f,0x2c15d,0xa538,0xa628,0x50,0x0,0x0,0x0,0x0,0x1d,0x1b,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,30,25,15,25,35,25,25,30,0,-1,1,2,2,-2,-2,1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Daichi,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26960,0x2c16d,0x2c178,0x2c183,0x2c18f,0xa538,0xa628,0x51,0x0,0x0,0x0,0x0,0x2f,0x2d,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,45,35,35,35,25,15,45,25,0,1,2,2,-1,-1,-1,-2,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Gazak,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26970,0x2c19d,0x2c1aa,0x2c1b7,0x2c1c5,0xa538,0xa628,0x52,0x0,0x0,0x0,0x0,0x13,0x11,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,75,40,5,25,25,15,65,15,0,1,-1,-2,-2,-2,3,3,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Senno,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26982,0x2c1d5,0x2c1e0,0x2c1eb,0x2c1f7,0xa538,0xa628,0x53,0x0,0x0,0x0,0x0,0x4f,0x51,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,45,40,20,50,30,25,40,25,0,-2,2,0,1,1,-3,1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Zhara,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x26992,0x2c205,0x2c214,0x2c223,0x2c233,0xa538,0xa628,0x54,0x0,0x0,0x0,0x0,0x17,0x15,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,40,35,10,35,35,60,35,30,0,-2,2,-2,1,3,-3,1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x0,0x0,0x0,0x0
Captured Paladin,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x269a6,0x2c245,0x0,0x0,0x2c254,0xa538,0xa628,0x55,0x0,0x0,0x0,0x0,0x7,0x9,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,30,0,30,30,20,25,15,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Cavalier,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x269bc,0x2c26d,0x0,0x0,0x2c254,0xa538,0xa628,0x56,0x0,0x0,0x0,0x0,0x9,0x7,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,35,30,0,25,30,15,25,10,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Great Knight,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x269d6,0x2c280,0x0,0x0,0x2c254,0xa538,0xa628,0x57,0x0,0x0,0x0,0x0,0xb,0xd,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,40,35,0,30,25,15,30,5,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
Captured Knight,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0x269f0,0x2c293,0x0,0x0,0x2c254,0xa538,0xa628,0x58,0x0,0x0,0x0,0x0,0xd,0xf,0xffff,1,-1,1,0x0,0,0,0,0,0,0,0,0,40,35,0,25,15,15,30,5,0,0,0,0,0,0,0,0,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0xff,0x7f,0x0,0x0,0x0,0,0,0x0,0x0,0xffff,0xffff,-1,0,255,0x0,0x2c268,0x0,0x0,0x0
